Dataset,Method,Pearson Correlation
H3K4me3 GM12878-H1hESC,Fold enrichment,0.2342919
H3K4me3 GM12878-HUVEC,Fold enrichment,0.025966
H3K4me3 GM12878-K562,Fold enrichment,0.307582
H3K4me3 H1hESC-HUVEC,Fold enrichment,0.2178269
H3K4me3 H1hESC-K562,Fold enrichment,0.3133881
H3K4me3 HUVEC-K562,Fold enrichment,0.1019632
H3K4me3 GM12878-H1hESC,P-value,0.23321323
H3K4me3 GM12878-HUVEC,P-value,0.10458929
H3K4me3 GM12878-K562,P-value,0.22773789
H3K4me3 H1hESC-HUVEC,P-value,0.04422615
H3K4me3 H1hESC-K562,P-value,0.21548375
H3K4me3 HUVEC-K562,P-value,0.18589404
H3K4me3 GM12878-H1hESC,log(P-value),0.37411039
H3K4me3 GM12878-HUVEC,log(P-value),0.15174956
H3K4me3 GM12878-K562,log(P-value),0.36470415
H3K4me3 H1hESC-HUVEC,log(P-value),0.09913208
H3K4me3 H1hESC-K562,log(P-value),0.40105179
H3K4me3 HUVEC-K562,log(P-value),0.15940041
H3K4me3 GM12878-H1hESC,log(Fold enrichment),0.42322522
H3K4me3 GM12878-HUVEC,log(Fold enrichment),0.29224555
H3K4me3 GM12878-K562,log(Fold enrichment),0.35028134
H3K4me3 H1hESC-HUVEC,log(Fold enrichment),0.24616156
H3K4me3 H1hESC-K562,log(Fold enrichment),0.39568784
H3K4me3 HUVEC-K562,log(Fold enrichment),0.20129896
