Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.418994902,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,2,1,7,10000,step,0.418994902,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.418994902,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.418901478,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.418986371,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.41877872,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,10000,step,0.417533521,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.418414629,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.430411135,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.430511786,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1,Inf,0,1.00E+05,step,0.418674019,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,2,1,7,1.00E+05,step,0.418674019,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,1.00E+05,step,0.418674019,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,1.00E+05,step,0.418674019,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,1.00E+05,step,0.418674019,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,1.00E+05,step,0.418690458,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.417434088,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.418439726,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.430411263,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.430511785,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.418288781,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,2,1,7,1000,step,0.418288781,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.418730671,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.418905516,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.419053213,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.41912992,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1000,step,0.417713953,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.418416461,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.430410873,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.43051173,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.392457322,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,2,1,7,10000,step,0.392457322,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.392457323,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.392690356,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.392404267,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.390984887,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,10000,step,0.387019236,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.373048719,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.359652048,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.354517035,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
