Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Number of knots,Minimum sigma rep1,Minimum sigma rep2,Length of mean-var curve,Evaluation Value
H3F3A H9,Number of knots,SDPM,2,1,7,1000,7,0.078922071,0.078922071,59293,0.245340366
H3F3A H9,Number of knots,SDPM,2,1,7,1000,10,0.053621627,0.053621627,59293,0.25058428
H3F3A H9,Number of knots,SDPM,2,1,7,1000,50,0.093378114,0.093378114,59293,0.240328248
H3F3A H9,Number of knots,SDPM,2,1,7,1000,100,0.094433341,0.094433341,59293,0.240060604
H3F3A H9,Number of knots,SDPM,2,1,7,1000,200,-0.143046851,-0.100792631,59293,0.240719396
H3F3A H9,Number of knots,SDPM,2,1,7,1000,500,0.094223129,0.094223129,59293,0.240114236
H3F3A H9,Number of knots,SDPM,2,1,7,1000,29646,-39.78040506,-38.31033662,59293,0.647631913
H3F3A H9,Number of knots,SDPM,2,1,7,1000,19764,-1.139308751,-1.0598661,59293,0.236467407
H3F3A H9,Number of knots,SDPM,2,1,7,1000,14823,0.100904604,0.100606239,59293,0.293015448
H3F3A H9,Number of knots,SDPM,2,1,7,1000,11859,0.095570084,0.095570084,59293,0.263713027
H3F3A H9,Number of knots,SDPM,2,1,7,1000,9882,0.092088566,0.092088566,59293,0.249669058
H3F3A H9,Number of knots,SDPM,2,1,7,1000,8470,0.089752252,0.089752252,59293,0.243434697
H3F3A H9,Number of knots,SDPM,2,1,7,1000,7412,0.08808265,0.08808265,59293,0.242005503
H3F3A H9,Number of knots,SDPM,2,1,7,1000,6588,0.086839856,0.086839856,59293,0.242413428
H3F3A H9,Number of knots,SDPM,2,1,7,1000,5929,0.085947316,0.085947316,59293,0.242948142
H3F3A H9,Number of knots,SDPM,2,1,7,1000,5390,0.085414673,0.085414673,59293,0.243099379
H3F3A H9,Number of knots,SDPM,2,1,7,1000,4941,0.085179766,0.085179766,59293,0.243049705
H3F3A H9,Number of knots,SDPM,2,1,7,1000,4561,0.085228577,0.085228577,59293,0.242869496
H3F3A H9,Number of knots,SDPM,2,1,7,1000,4235,0.0855378,0.0855378,59293,0.242614339
H3F3A H9,Number of knots,SDPM,2,1,7,1000,3953,0.08612089,0.08612089,59293,0.242372889
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,7,0.078922071,0.078922071,59291,0.245340366
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,10,0.053621627,0.053621627,59291,0.25058428
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,50,0.093378114,0.093378114,59291,0.240328248
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,100,0.094433341,0.094433341,59291,0.240060604
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,200,-0.143046851,-0.100792631,59291,0.240719396
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,500,0.094223129,0.094223129,59291,0.240114236
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,29646,-39.78040506,-38.31033662,59291,0.647631913
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,19764,-1.139308751,-1.0598661,59291,0.236467407
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,14823,0.100904604,0.100606239,59291,0.293015448
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,11858,0.095546607,0.095546607,59291,0.263649995
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,9882,0.092088566,0.092088566,59291,0.249669058
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,8470,0.089752252,0.089752252,59291,0.243434697
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,7411,0.088087983,0.088087983,59291,0.242003647
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,6588,0.086839856,0.086839856,59291,0.242413428
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,5929,0.085947316,0.085947316,59291,0.242948142
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,5390,0.085414673,0.085414673,59291,0.243099379
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,4941,0.085179766,0.085179766,59291,0.243049705
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,4561,0.085228577,0.085228577,59291,0.242869496
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,4235,0.0855378,0.0855378,59291,0.242614339
H3F3A H9,Number of knots,SDPM,1,Inf,0,1000,3953,0.08612089,0.08612089,59291,0.242372889
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,7,0.091361596,0.091361596,59315,0.249844847
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,10,0.060930413,0.060930413,59315,0.255220522
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,50,0.11189717,0.11189717,59315,0.24199238
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,100,0.112330358,0.112330358,59315,0.241655129
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,200,0.112720519,0.112720519,59315,0.239921004
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,500,0.112009713,0.112009713,59315,0.239279654
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,29658,-35.43164299,-34.16892752,59315,0.64580879
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,19772,-0.345273801,-0.294676396,59315,0.209561627
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,14829,0.135133102,0.1351332,59315,0.272947738
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,11863,0.141569488,0.141569496,59315,0.248512752
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,9886,0.145511762,0.145512756,59315,0.242990309
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,8474,0.145658536,0.145658536,59315,0.2401587
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,7414,0.139091836,0.139091836,59315,0.239882711
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,6591,0.12979871,0.12979871,59315,0.240187084
H3F3A H9,Number of knots,SDPM,1.002313162,300,1994,1000,5932,0.123255762,0.123255762,59315,0.240182991
